ÐòºÅ	TCPÁ÷ÐòºÅ	TCPÊý¾Ý¶ÎÐòºÅ	ÑÓÊ±	¶¶¶¯
497	2	2756289012	0.000782	0.000397
498	2	2756293392	0.000761	0.000021
499	2	2756299232	0.000760	0.000001
500	2	2756306532	0.000765	0.000005
501	2	2756313832	0.000784	0.000019
502	2	2756321132	0.000760	0.000024
503	2	2756326972	0.000760	0.000000
504	2	2756335732	0.000758	0.000002
505	2	2756343032	0.001158	0.000400
506	2	2756353252	0.000742	0.000416
507	2	2756356172	0.000741	0.000001
508	2	2756360552	0.001202	0.000461
509	2	2756375152	0.000746	0.000456
510	2	2756378072	0.001547	0.000801
511	2	2756392672	0.000754	0.000793
512	2	2756395592	0.000752	0.000002
513	2	2756399972	0.000744	0.000008
514	2	2756407272	0.001990	0.001246
515	2	2756413112	0.000778	0.001212
516	2	2756421872	0.000743	0.000035
517	2	2756426252	0.003225	0.002482
518	2	2756440852	0.000012	0.003213
519	2	2756443772	0.004988	0.004976
520	2	2756458372	0.001896	0.003092
521	2	2756471512	0.005693	0.003797
522	2	2756486112	0.001159	0.004534
523	2	2756496332	0.001782	0.000623
524	2	2756505092	0.000861	0.000921
525	2	2756509472	0.001973	0.001112
526	2	2756524072	0.000012	0.001961
527	2	2756526992	0.008091	0.008079
528	2	2756535752	0.001967	0.006124
529	2	2756545972	0.001833	0.000134
530	2	2756560572	0.000755	0.001078
531	2	2756563492	0.000743	0.000012
532	2	2756570792	0.002699	0.001956
533	2	2756585392	0.000009	0.002690
534	2	2756592692	0.004955	0.004946
535	2	2756599992	0.002224	0.002731
536	2	2756613132	0.000076	0.002148
537	2	2756627732	0.005200	0.005124
538	2	2756642332	0.000012	0.005188
539	2	2756645252	0.007575	0.007563
540	2	2756659852	0.000017	0.007558
541	2	2756662772	0.001891	0.001874
542	2	2756664232	0.003220	0.001329
543	2	2756677372	0.004639	0.001419
544	2	2756691972	0.011996	0.007357
545	2	2756706572	0.000019	0.011977
546	2	2756709492	0.002790	0.002771
547	2	2756724092	0.000032	0.002758
548	2	2756727012	0.004908	0.004876
549	2	2756728472	0.003947	0.000961
550	2	2756741612	0.003025	0.000922
551	2	2756756212	0.001164	0.001861
552	2	2756766432	0.000741	0.000423
553	2	2756773732	0.000741	0.000000
554	2	2756778112	0.000740	0.000001
555	2	2756785412	0.000739	0.000001
556	2	2756788332	0.059782	0.059043
557	2	2756792712	0.001607	0.058175
558	2	2756798552	0.003999	0.002392
559	2	2756813152	0.002960	0.001039
560	2	2756826292	0.000029	0.002931
561	2	2756830672	0.000744	0.000715
562	2	2756836512	0.000741	0.000003
563	2	2756845272	0.001243	0.000502
564	2	2756854032	0.008761	0.007518
565	2	2756856952	0.001995	0.006766
566	2	2756867172	0.000776	0.001219
567	2	2756871552	0.003481	0.002705
568	2	2756886152	0.003506	0.000025
